 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202030016 CONTAGEM DE LINFOCITOS B";15,00;-;-;-;-;225,00;15,00;-;150,00;405,00
"0202030024 CONTAGEM DE LINFOCITOS CD4/CD8";125940,00;117270,00;48735,00;-;46140,00;-;24345,00;8100,00;45735,00;416265,00
"0202030032 CONTAGEM DE LINFOCITOS T TOTAIS";210,00;480,00;285,00;270,00;75,00;165,00;2925,00;105,00;135,00;4650,00
"0202030040 DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)";36010,00;34450,00;37310,00;50115,00;50960,00;57330,00;61230,00;56680,00;147550,00;531635,00
"0202030059 DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO)";96,00;96,00;96,00;-;-;96,00;4608,00;5088,00;4032,00;14112,00
"0202030067 DETERMINACAO DE COMPLEMENTO (CH50)";758,50;1304,25;943,50;1877,75;1591,00;1165,50;1554,00;1683,50;1905,50;12783,50
"0202030075 DETERMINACAO DE FATOR REUMATOIDE";105400,52;106008,97;94971,97;101047,98;100595,18;83487,83;99751,84;128445,21;146353,45;966062,95
"0202030083 DETERMINACAO QUANTITATIVA DE PROTEINA C REATIVA";795259,50;747603,50;835950,25;738769,75;909580,25;1244402,50;1592831,50;1778978,50;2253133,50;10896509,25
"0202030091 DOSAGEM DE ALFA-FETOPROTEINA";26701,38;23448,42;29457,36;23297,82;36535,56;37785,54;88236,54;81308,94;84757,68;431529,24
"0202030105 DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)";981379,36;1354764,38;1425161,40;1628666,96;1676286,02;1331178,00;1578715,28;2009967,24;2254798,94;14240917,58
"0202030113 DOSAGEM DE BETA-2-MICROGLOBULINA";8441,65;2493,20;2615,15;2574,50;4661,20;8563,60;6910,50;7682,85;14268,15;58210,80
"0202030121 DOSAGEM DE COMPLEMENTO C3";59219,16;66718,08;65087,88;68262,48;82779,84;72741,24;111934,68;82470,96;95632,68;704847,00
"0202030130 DOSAGEM DE COMPLEMENTO C4";58618,56;64676,04;62359,44;66014,52;81870,36;68228,16;91050,96;83054,40;65208,00;641080,44
"0202030148 DOSAGEM DE CRIOAGLUTININA";-;2,83;2,83;50,94;401,86;161,31;-;22,64;152,82;795,23
"0202030156 DOSAGEM DE IMUNOGLOBULINA A (IGA)";24933,48;28966,08;25190,88;31162,56;36104,64;24126,96;36688,08;40583,40;42196,44;289952,52
