 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0405040210 REPOSICIONAMENTO DE LENTE INTRAOCULAR";2073,60;-;-;453,60;-;1814,40;453,60;2268,00;4082,40;11145,60
"0405050011 CAPSULECTOMIA POSTERIOR CIRURGICA";207809,70;133533,74;47318,89;177923,70;192901,05;102676,05;57383,10;7037,55;6496,20;933079,98
"0405050020 CAPSULOTOMIA A YAG LASER";72630,00;87975,00;122163,75;250661,25;197741,25;183015,00;203017,50;282705,57;400559,04;1800468,36
"0405050038 CAUTERIZACAO DE CORNEA";22470,36;26336,64;37150,74;35179,32;19312,26;7005,24;13072,62;12039,06;11579,70;184145,94
"0405050046 CICLOCRIOCOAGULACAO / DIATERMIA";335,72;-;-;-;10575,18;14687,75;20562,85;45825,78;57575,98;149563,26
"0405050062 CORRECAO DE ASTIGMATISMO SECUNDARIO";21532,50;20690,34;20384,10;27236,22;17819,34;7579,44;11330,88;10201,62;9187,20;145961,64
"0405050070 CORRECAO CIRURGICA DE HERNIA DE IRIS";49507,20;44841,60;38880,00;30067,20;22032,00;11145,60;10108,80;11664,00;9590,40;227836,80
"0405050089 EXERESE DE TUMOR DE CONJUNTIVA";25259,96;14399,00;9709,04;6500,12;8474,84;8886,24;8639,40;13658,48;10449,56;105976,64
"0405050097 FACECTOMIA COM IMPLANTE DE LENTE INTRA-OCULAR";81955,00;17277,00;29681,00;96751,20;63792,00;274837,20;44122,80;244536,00;296632,80;1149585,00
"0405050100 FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR";2015,00;10881,00;7254,00;14991,60;9672,00;11606,40;10155,60;11122,80;13540,80;91239,20
"0405050119 FACOEMULSIFICACAO COM IMPLANTE DE LENTE INTRA-OCULAR RIGIDA";371955,00;327972,00;143677,80;69721,20;138790,80;8470,80;13683,60;33883,20;24109,20;1132263,60
"0405050127 FOTOTRABECULOPLASTIA A LASER";-;-;-;-;-;1305,00;1935,00;5175,00;5175,00;13590,00
"0405050143 IMPLANTE INTRA-ESTROMAL";515,97;-;-;-;-;-;-;30700,30;21670,80;52887,07
"0405050151 IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO";9538,56;5564,16;5564,16;24482,26;21143,77;30046,41;27820,75;25595,09;37836,22;187591,38
"0405050160 INJECAO SUBCONJUTIVAL / SUBTENONIANA";3567,92;675,68;3015,84;3073,52;156,56;8,24;-;-;1161,84;11659,60
"0405050178 IRIDECTOMIA CIRURGICA";29448,54;31828,22;36587,58;34207,90;29448,54;9816,18;9221,26;8626,34;11006,02;200190,58
"0405050194 IRIDOTOMIA A LASER";180,00;3060,00;3195,00;6885,00;9360,00;6165,00;7830,00;12195,00;12645,00;61515,00
"0405050208 PARACENTESE DE CAMARA ANTERIOR";17443,36;19911,76;35133,56;49779,40;46817,32;30114,48;52412,36;79400,20;90590,28;421602,72
"0405050216 RECOBRIMENTO CONJUNTIVAL";3839,16;8859,60;7678,32;2067,24;2067,24;23773,26;69597,08;67185,30;89752,67;274819,87
"0405050224 RECONSTITUICAO DE FORNIX CONJUNTIVAL";-;-;-;-;35788,08;31860,12;20949,12;32733,00;41025,36;162355,68
"0405050240 RETIRADA DE CORPO ESTRANHO DA CAMARA ANTERIOR DO OLHO";58415,28;56065,24;62443,92;55393,80;51029,44;27864,76;36929,20;11078,76;51700,88;410921,28
"0405050259 RETIRADA DE CORPO ESTRANHO DA CORNEA";365350,00;394175,00;239875,00;247275,00;182225,00;85375,00;93775,00;100875,00;92325,00;1801250,00
"0405050267 SINEQUIOLISE A YAG LASER";-;-;-;-;135,00;630,00;540,00;315,00;45,00;1665,00
"0405050283 SUBSTITUICAO DE LENTE INTRA-OCULAR";-;-;1089,76;5993,68;2179,52;544,88;1089,76;1089,76;3269,28;15256,64
"0405050291 SUTURA DE CONJUNTIVA";32253,76;32253,76;27152,40;39083,00;39988,08;17031,96;44019,80;41057,72;37601,96;310442,44
"0405050305 SUTURA DE CORNEA";14931,28;26909,12;22971,20;39871,44;44137,52;31831,52;53161,92;58248,40;45122,00;337184,40
"0405050321 TRABECULECTOMIA";97534,60;80081,04;68659,29;107802,00;105106,95;137447,55;110497,05;169788,15;156312,90;1033229,53
"0405050364 TRATAMENTO CIRURGICO DE PTERIGIO";1104468,20;1078344,30;926350,70;1597399,65;1501635,30;1175994,60;1357464,90;1633442,25;1674304,50;12049404,40
"0405050372 FACOEMULSIFICACAO COM IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL";6128433,00;8627131,00;9766655,60;14021823,84;14540802,00;13238341,20;15734467,20;17316247,20;20226722,40;119600623,44
"0405050399 TRATAMENTO CIRURGICO DE DEISCENCIA DE SUTURA DE CORNEA";-;-;-;-;860,60;516,36;516,36;-;-;1893,32
"0405050402 RADIACAO PARA CROSS LINKING CORNEANO";-;-;-;-;-;878,16;1756,32;2927,20;2049,04;7610,72
"0406020094 DISSECCAO DE VEIA / ARTERIA";835,65;761,37;773,75;903,74;1126,58;1021,35;903,74;1665,11;557,10;8548,39
"0406020132 EXCISAO E SUTURA DE HEMANGIOMA";6479,62;11615,54;16363,28;6867,80;12391,90;7733,74;9017,72;13138,40;3971,38;87579,38
"0406020140 EXCISAO E SUTURA DE LINFANGIOMA / NEVUS";110482,00;124695,36;133951,96;137475,44;157989,26;93193,06;105107,20;129502,82;156287,24;1148684,34
"0406020205 LINFADENECTOMIA PROFUNDA";38,39;-;230,34;1190,09;806,19;38,39;38,39;-;153,56;2495,35
"0406020299 LINFADENECTOMIA SUPERFICIAL";998,28;761,40;879,84;101,52;33,84;-;33,84;84,60;203,04;3096,36
"0406020620 RETIRADA DE CATETER DE LONGA PERMANENCIA SEMI OU TOTALMENTE IMPLANTAVEL";82,96;82,96;103,70;1368,84;4148,00;1223,66;477,02;41,48;103,70;7632,32
"0407010246 RETIRADA DE CORPO ESTRANHO DO TUBO DIGESTIVO POR ENDOSCOPIA";1437,96;4876,56;13535,58;6970,98;6877,20;2688,36;1156,62;1437,96;16005,12;54986,34
"0407010254 RETIRADA DE POLIPO DO TUBO DIGESTIVO POR ENDOSCOPIA";23185,68;31063,44;31093,28;47684,32;27303,60;20380,72;11697,28;18441,12;18202,40;229051,84
"0407010319 TRATAMENTO ESCLEROSANTE / LIGADURA ELASTICA DE LESAO HEMORRAGICA DO APARELHO DIGESTIVO";103,50;4502,25;2949,75;9936,00;19354,50;21838,50;27220,50;15421,50;18630,00;119956,50
"0407010327 TRATAMENTO ESCLEROSANTE DE LESOES NAO HEMORRAGICAS DO APARELHO DIGESTIVO INCLUINDO LIGADURA ELAST";7452,00;13558,50;6831,00;1086,75;2639,25;879,75;2380,50;6831,00;4243,50;45902,25
"0407020128 DILATACAO DIGITAL / INSTRUMENTAL DO ANUS E/OU RETO";26,12;-;52,24;91,42;326,50;-;13,06;-;65,30;574,64
"0407020136 DRENAGEM DE ABSCESSO ANU-RETAL";68,16;204,48;136,32;272,64;68,16;-;-;-;-;749,76
"0407020144 DRENAGEM DE ABSCESSO ISQUIORRETAL";68,16;22,72;-;90,88;-;-;-;-;-;181,76
"0407020160 ELETROCAUTERIZACAO DE LESAO TRANSPARIETAL DE ANUS";3186,64;4009,42;1057,86;2507,52;2311,62;2938,50;4009,42;404,86;-;20425,84
"0407020314 LIGADURA ELASTICA DE HEMORROIDAS (SESSAO)";-;-;192,01;1181,60;1329,30;590,80;1344,07;1403,15;1373,61;7414,54
"0407020390 RETIRADA DE CORPO ESTRANHO / POLIPOS DO RETO / COLO SIGMOIDE";13,63;54,52;81,78;1690,12;2058,13;1880,94;6297,06;7060,34;4797,76;23934,28
"0407030107 DRENAGEM BILIAR PERCUTANEA EXTERNA";-;-;-;-;-;92,95;92,95;-;371,80;557,70
"0407030115 DRENAGEM BILIAR PERCUTANEA INTERNA";-;-;-;-;-;929,50;464,75;92,95;371,80;1859,00
"0407040196 PARACENTESE ABDOMINAL";4122,72;4588,98;7730,10;7950,96;8834,40;13067,55;19447,95;21570,66;20171,88;107485,20
"0408010126 REDUCAO INCRUENTA DE FRATURA E FRATURA-LUXACAO AO NIVEL DA CINTURA ESCAPULAR";16383,60;19483,20;19748,88;19040,40;11867,04;8324,64;10405,80;10272,96;9874,44;125400,96
"0408010134 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO ESCAPULO-UMERAL";50142,00;53553,30;65718,90;64732,50;53265,60;37483,20;36948,90;37318,80;38017,50;437180,70
"0408020164 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DO EXTREMO PROXIMAL DO UMERO";27084,90;29961,90;32551,20;38962,80;30742,80;27989,10;27249,30;30537,30;31688,10;276767,40
"0408020172 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA NO PUNHO";56056,78;65276,90;68104,92;64889,50;59698,34;53848,60;59117,24;65083,20;66322,88;558398,36
"0408020180 REDUCAO INCRUENTA DE FRATURA / LUXACAO DE MONTEGGIA OU DE GALEAZZI";8175,00;7875,00;9150,00;8437,50;5662,50;4237,50;3525,00;4687,50;4987,50;56737,50
"0408020199 REDUCAO INCRUENTA DE FRATURA DA DIAFISE DO UMERO";13258,00;12954,96;15000,48;13788,32;10644,28;7462,36;7007,80;9924,56;9053,32;99094,08
"0408020202 REDUCAO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRACO";35266,28;29811,56;32879,84;33751,08;32008,60;24811,40;22614,36;21402,20;17046,00;249591,32
"0408020229 REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO COTOVELO";25275,00;26325,00;28125,00;34950,00;34350,00;28725,00;22125,00;19912,50;23625,00;243412,50
"0408020245 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO NO PUNHO";19524,96;19021,34;23398,96;24716,12;29946,02;12048,14;9375,08;13404,04;13946,40;165381,06
"0408020300 TENOSINOVECTOMIA EM MEMBRO SUPERIOR";511,56;-;-;-;-;-;-;-;-;511,56
"0408050195 REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE";3801,60;6230,40;10665,60;14115,20;11756,80;12601,60;10700,80;13481,60;12742,40;96096,00
"0408050209 REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS";2534,40;3379,20;7708,80;3696,00;7884,80;5948,80;4153,60;7075,20;7955,20;50336,00
"0408050217 REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO";25062,40;24569,60;24288,00;21718,40;26153,60;26118,40;22563,20;24745,60;28969,60;224188,80
"0408050225 REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA";7731,37;8133,58;8044,20;7463,23;10189,32;10770,29;8267,65;9831,80;11351,26;81782,70
"0408050241 REDUCAO INCRUENTA DE FRATURA DOS OSSOS DO TARSO";7779,20;9328,00;14960,00;12179,20;18163,20;15276,80;13904,00;15206,40;15804,80;122601,60
"0408050250 REDUCAO INCRUENTA DE FRATURA OU LESAO FISARIA DO JOELHO";14166,73;13853,90;14837,08;13719,83;15328,67;11172,50;12557,89;14568,94;17026,89;127232,43
"0408050268 REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO";74191,78;81900,57;34583,08;19676,58;19974,71;19974,71;19591,40;21039,46;23381,91;314314,20
"0408050276 REDUCAO INCRUENTA DE LUXACAO FEMURO-PATELAR";3556,40;3932,96;4184,00;4393,20;5522,88;3849,28;3347,20;5062,64;7614,88;41463,44
"0408050284 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO SUBTALAR E INTRATARSICA";12320,00;12144,00;13059,20;11792,00;13587,20;13305,60;12249,60;13657,60;14572,80;116688,00
"0408050292 REDUCAO INCRUENTA DE LUXACAO OU FRATURA / LUXACAO TARSO-METATARSICA";352,00;70,40;70,40;105,60;281,60;176,00;11616,00;14009,60;14678,40;41360,00
"0408060042 AMPUTACAO / DESARTICULACAO DE DEDO";1392,58;994,70;738,92;881,02;824,18;653,66;1165,22;1847,30;2159,92;10657,50
"0408060158 MANIPULACAO ARTICULAR";56,84;56,84;-;56,84;198,94;113,68;625,24;824,18;994,70;2927,26
"0408060212 RESSECCAO DE CISTO SINOVIAL";227,36;426,30;142,10;-;142,10;-;-;85,26;28,42;1051,54
"0408060352 RETIRADA DE FIO OU PINO INTRA-OSSEO";14693,14;19126,66;28903,14;32683,00;32256,70;35013,44;38963,82;33564,02;48768,72;283972,64
"0408060450 TENOMIORRAFIA";-;-;-;-;28,42;-;-;-;-;28,42
"0408060654 TRATAMENTO CIRURGICO DE POLIDACTILIA NAO ARTICULADA";113,68;284,20;255,78;483,14;596,82;284,20;170,52;113,68;227,36;2529,38
"0408060689 TRATAMENTO CIRURGICO DE RUTURA DO APARELHO EXTENSOR DO DEDO";511,56;1079,96;4461,94;3609,34;7531,30;8355,48;8696,52;7417,62;3666,18;45329,90
"0409010090 CISTOSTOMIA";228,76;163,40;163,40;261,44;326,80;751,64;653,60;849,68;1274,52;4673,24
"0409010103 COLOCACAO PERCUTANEA DE CATETER PIELO-URETERO-VESICAL UNILATERAL.";241,41;-;-;-;-;-;-;-;-;241,41
"0409010111 DILATACAO PERCUTANEA DE ESTENOSES URETERAIS E JUNCAO URETERO-VESICAL";-;-;-;-;-;-;266,73;-;88,91;355,64
"0409010154 EXTRACAO ENDOSCOPICA DE CORPO ESTRANHO / CALCULO EM URETER";-;-;-;-;-;-;358,08;59,68;2327,52;2745,28
"0409010170 INSTALACAO ENDOSCOPICA DE CATETER DUPLO J";-;-;-;-;-;-;-;-;1036,80;1036,80
"0409010278 NEFROSTOMIA (POR PUNCAO)";-;-;-;-;-;-;522,88;1666,68;3692,84;5882,40
"0409010359 PUNCAO/ASPIRACAO DA BEXIGA";5460,37;6381,24;4085,55;5045,33;4331,98;3009,04;1374,82;583,65;25,94;30297,92
"0409010383 RESSECCAO ENDOSCOPICA DE LESAO VESICAL";2124,20;261,44;130,72;-;-;-;-;-;-;2516,36
"0409010448 TRATAMENTO CIRURGICO DE FISTULA VESICO-CUTANEA";-;34,10;-;68,20;-;-;34,10;34,10;-;170,50
"0409020010 DRENAGEM DE COLECAO PERI-URETRAL";-;-;-;-;27,08;-;-;-;-;27,08
"0409020036 EXTRACAO ENDOSCOPICA DE CORPO ESTRANHO / CALCULO NA URETRA C/ CISTOSCOPIA";-;34,10;136,40;-;34,10;272,80;1534,50;3273,60;954,80;6240,30
"0409020060 MEATOTOMIA ENDOSCOPICA";34,10;-;-;-;-;34,10;68,20;102,30;34,10;272,80
"0409020079 MEATOTOMIA SIMPLES";-;32,68;-;-;163,40;-;32,68;65,36;32,68;326,80
"0409020087 RESSECCAO DE CARUNCULAURETRAL.";-;32,68;-;32,68;32,68;32,68;32,68;32,68;130,72;326,80
"0409020117 TRATAMENTO CIRURGICO DEINCONTINENCIA URINARIA";-;-;-;-;-;-;34,10;-;-;34,10
"0409020176 URETROTOMIA INTERNA";68,20;102,30;-;34,10;511,50;920,70;716,10;1023,00;750,20;4126,10
"0409020184 URETROTOMIA PARA RETIRADA DE CALCULO OU CORPO ESTRANHO";-;34,10;-;-;306,90;1739,10;2693,90;1023,00;-;5797,00
"0409040010 DRENAGEM DE ABSCESSO DA BOLSA ESCROTAL";12,97;12,97;-;-;25,94;-;25,94;25,94;38,91;142,67
"0409040029 DRENAGEM DE ABSCESSO DO EPIDIDIMO E/OU CANAL DEFERENTE";-;14,51;-;-;14,51;-;-;-;-;29,02
"0409040061 EXERESE DE CISTO DE BOLSA ESCROTAL";64,85;77,82;-;38,91;-;-;-;12,97;12,97;207,52
"0409040070 EXERESE DE CISTO DE EPIDIDIMO";34,10;102,30;68,20;-;-;-;-;-;-;204,60
"0409040088 EXERESE DE LESAO DO CORDAO ESPERMATICO";34,10;68,20;-;-;-;-;-;-;-;102,30
"0409040142 ORQUIECTOMIA SUBCAPSULAR BILATERAL";-;-;-;-;-;-;433,62;433,62;-;867,24
"0409040215 TRATAMENTO CIRURGICO DE HIDROCELE";-;-;-;-;-;-;-;34,10;34,10;68,20
"0409040240 VASECTOMIA";6435,87;29727,59;11339,39;24517,60;39228,16;18388,20;30340,53;84049,35;62758,41;306785,10
"0409050059 LIBERACAO/PLASTIA DE PREPUCIO";825,94;1083,20;1462,32;555,14;649,92;555,14;622,84;176,02;230,18;6160,70
"0409050067 PLASTICA DE FREIO BALANO-PREPUCIAL";102,30;34,10;-;136,40;34,10;136,40;136,40;68,20;102,30;750,20
"0409050083 POSTECTOMIA";5039,76;5039,76;7230,96;6573,60;13147,20;9422,16;9641,28;12489,84;12051,60;80636,16
"0409060011 CERCLAGEM DE COLO DO UTERO";-;12,97;-;-;-;-;-;-;-;12,97
"0409060046 CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO";5112,12;5994,30;4591,86;4184,70;4003,74;2940,60;4320,42;4094,22;4003,74;39245,70
"0409060062 DILATACAO DE COLO DO UTERO";859,56;972,66;1131,00;2872,74;8618,22;8640,84;10608,78;19996,08;11898,12;65598,00
"0409060089 EXCISAO TIPO I DO COLO UTERINO";14295,84;17372,16;25379,64;19227,00;18720,28;13001,52;20176,30;36661,42;35458,14;200292,30
"0409060097 EXERESE DE POLIPO DE UTERO";5360,94;5044,26;15268,50;9206,34;11513,58;8640,84;14635,14;30695,34;14703,00;115067,94
"0409060305 EXCISAO TIPO 2 DO COLO UTERINO";-;-;-;-;-;-;45,24;90,48;180,96;316,68
"0409070106 COLPOTOMIA";43,36;43,36;-;21,68;-;-;-;-;-;108,40
"0409070122 DRENAGEM DE GLANDULA DE BARTHOLIN / SKENE";778,20;920,87;985,72;674,44;1271,06;985,72;739,29;830,08;1154,33;8339,71
"0409070149 EXERESE DE CISTO VAGINAL";113,10;339,30;203,58;-;-;-;-;-;-;655,98
"0409070165 EXTIRPACAO DE LESAO DE VULVA / PERINEO (POR ELETROCOAGULACAO OU FULGURACAO)";785,32;108,32;203,10;162,48;121,86;324,96;555,14;568,68;1489,40;4319,26
"0409070173 EXTRACAO DE CORPO ESTRANHO DA VAGINA";690,54;352,04;555,14;2342,42;5659,72;352,04;1557,10;1814,36;988,42;14311,78
"0409070181 HIMENOTOMIA";-;21,68;-;43,36;-;-;21,68;-;-;86,72
"0410010014 DRENAGEM DE ABSCESSO DE MAMA";497,76;767,38;1057,74;1348,10;518,50;477,02;269,62;228,14;269,62;5433,88
"0410010022 ESVAZIAMENTO PERCUTANEO DE CISTO MAMARIO";414,80;373,32;352,58;477,02;373,32;-;311,10;41,48;20,74;2364,36
"0410010030 EXERESE DE MAMA SUPRANUMERARIA";124,44;20,74;145,18;808,86;435,54;311,10;82,96;186,66;145,18;2260,66
"0410010049 EXERESE DE MAMILO";82,96;41,48;165,92;-;41,48;-;82,96;269,62;311,10;995,52
"0410010081 PLASTICA MAMARIA MASCULINA";-;-;-;31,28;-;-;-;-;-;31,28
"0411010018 DESCOLAMENTO MANUAL DE PLACENTA";-;-;18,85;-;-;18,85;-;-;37,70;75,40
"0411010069 RESSUTURA DE EPISIORRAFIA POS-PARTO";2199,60;1522,80;1928,88;3722,40;6790,56;7332,00;8685,60;4421,76;5335,44;41939,04
"0411010077 SUTURA DE LACERACOES DE TRAJETO PELVICO";-;-;-;-;19,79;19,79;39,58;39,58;-;118,74
"0411020013 CURETAGEM POS-ABORTAMENTO / PUERPERAL";-;39,58;19,79;19,79;39,58;19,79;59,37;-;19,79;217,69
"0412010062 PUNCAO DE TRAQUEIA C/ ASPIRACAO";63,16;126,32;15,79;-;-;31,58;47,37;31,58;47,37;363,17
"0412030128 RETIRADA DE DRENO TUBULAR TORACICO";-;-;33,97;33,97;33,97;33,97;101,91;-;169,85;407,64
"0412050170 TORACOCENTESE/DRENAGEM DE PLEURA";11818,55;8465,38;17535,43;18030,16;17370,52;15061,78;20888,60;14457,11;18140,10;141767,63
"0413010031 CURATIVO EM GRANDE QUEIMADO";11725,00;5206,25;-;218,75;-;-;-;-;-;17150,00
"0413010040 CURATIVO EM MEDIO QUEIMADO";204500,00;186156,25;81250,00;135406,25;160875,00;91562,50;82625,00;130218,75;209218,75;1281812,50
"0413010058 CURATIVO EM PEQUENO QUEIMADO";39506,25;25200,00;20587,50;33825,00;27787,50;7031,25;37031,25;54506,25;74025,00;319500,00
"0413030040 PREENCHIMENTO FACIAL COM POLIMETILMETACRILATO EM PACIENTE C/ LIPOATROFIA FACIAL CAUSADOS PELA REDUC";14400,00;22080,00;5280,00;2400,00;-;-;-;-;-;44160,00
"0413040011 AUTONOMIZACAO DE RETALHO";312,80;344,08;2283,44;2721,36;1532,72;719,44;969,68;782,00;469,20;10134,72
"0413040151 TRANSFERENCIA INTERMEDIARIA DE RETALHO";6359,04;5283,84;1198,08;2150,40;2273,28;3471,36;6328,32;7956,48;7526,40;42547,20
"0414010256 TRATAMENTO CIRURGICO DE FISTULA ORO-SINUSAL / ORO-NASAL";-;150,00;150,00;450,00;1200,00;900,00;750,00;1500,00;150,00;5250,00
"0414010345 EXCISAO DE CALCULO DE GLANDULA SALIVAR";262,08;973,44;5503,68;2676,96;1329,12;1085,76;280,80;449,28;187,20;12748,32
"0414010361 EXERESE DE CISTO ODONTOGENICO E NAO-ODONTOGENICO";27002,80;27144,92;16166,15;26327,73;27429,16;7923,19;8953,56;12577,62;23769,57;177294,70
"0414010388 TRATAMENTO CIRURGICO DE FISTULA INTRA / EXTRAORAL";13330,10;6751,36;5159,42;3970,26;8151,50;2550,94;364,42;268,52;748,02;41294,54
"0414020022 APICECTOMIA COM OU SEM OBTURACAO RETROGRADA";2323,52;1380,96;2038,56;898,72;1907,04;1819,36;1775,52;3989,44;1030,24;17163,36
"0414020030 APROFUNDAMENTO DE VESTIBULO ORAL (POR SEXTANTE)";8351,52;5436,16;4932,00;4033,28;4581,28;5523,84;6334,88;3660,64;2104,32;44957,92
"0414020049 CORRECAO DE BRIDAS MUSCULARES";14044,36;11071,94;10929,16;14511,64;16575,46;12292,06;12889,14;16796,12;14485,68;123595,56
"0414020057 CORRECAO DE IRREGULARIDADES DE REBORDO ALVEOLAR";191800,00;161660,00;141932,00;174855,84;184215,68;89214,40;100218,24;116373,28;120910,72;1281180,16
"0414020065 CORRECAO DE TUBEROSIDADE DO MAXILAR";14187,14;16095,20;13473,24;22481,36;23441,88;11383,46;13706,88;13992,44;14122,24;142883,84
"0414020073 CURETAGEM PERIAPICAL";326125,76;268015,84;315428,80;479061,60;506834,24;245591,68;290703,04;428382,56;415405,92;3275549,44
"0414020081 ENXERTO GENGIVAL";752,84;545,16;610,06;597,08;1869,12;1557,60;1272,04;1440,78;830,72;9475,40
"0414020090 ENXERTO OSSEO DE AREA DOADORA INTRABUCAL";3244,16;241,12;197,28;87,68;2696,16;723,36;87,68;1622,08;109,60;9009,12
"0414020146 EXODONTIA MULTIPLA COM ALVEOLOPLASTIA POR SEXTANTE";83318,62;73882,16;75141,22;104969,26;97921,12;46870,78;49830,22;71493,84;59617,14;663044,36
"0414020154 GENGIVECTOMIA (POR SEXTANTE)";75881,04;70263,56;60831,00;76136,38;80792,58;33599,74;48950,18;84307,26;69512,56;600274,30
"0414020162 GENGIVOPLASTIA (POR SEXTANTE)";37161,74;30684,72;23883,20;39043,84;40848,06;17263,40;29659,30;46221,78;40783,16;305549,20
"0414020200 MARSUPIALIZACAO DE CISTOS E PSEUDOCISTOS";4896,52;3694,92;2463,28;1291,72;1697,26;2448,26;2027,70;2132,84;1246,66;21899,16
"0414020219 ODONTOSECCAO / RADILECTOMIA / TUNELIZACAO";138172,72;147686,00;130654,16;204899,94;241073,42;120795,64;138517,96;222411,28;215525,66;1559736,78
"0414020243 REIMPLANTE E TRANSPLANTE DENTAL (POR ELEMENTO)";2493,40;1342,60;1189,16;2455,04;2761,92;1189,16;2128,98;2838,64;786,38;17185,28
"0414020278 REMOCAO DE DENTE RETIDO (INCLUSO / IMPACTADO)";861360,64;792655,36;723177,60;955398,72;931133,76;491547,20;593151,04;850091,52;809922,56;7008438,40
"0414020294 REMOCAO DE TORUS E EXOSTOSES";7861,12;5680,00;2374,24;14086,40;10269,44;4305,44;6804,64;12212,00;4237,28;67830,56
"0414020367 TRATAMENTO CIRURGICO PARA TRACIONAMENTO DENTAL";13200,32;5225,60;10451,20;5543,68;5680,00;3703,36;4203,20;7384,00;9746,88;65138,24
"0414020375 TRATAMENTO CIRURGICO PERIODONTAL (POR SEXTANTE)";58929,20;61278,58;48272,62;76997,36;67547,92;35863,74;48649,04;68300,76;59474,36;525313,58
"0414020421 IMPLANTE DENTARIO OSTEOINTEGRADO";-;-;-;520,20;-;-;-;-;-;520,20
"0415040043 DEBRIDAMENTO DE ULCERA / NECROSE";46103,84;72559,80;67125,28;40848,48;31890,48;18005,58;13287,70;119887,90;234341,28;644050,34
"0417010052 ANESTESIA REGIONAL";3897,25;9242,05;11958,99;21958,22;21535,09;18105,51;22225,46;39529,25;105871,58;254323,40
"0417010060 SEDACAO";14210,70;53812,80;78961,80;91157,55;135804,60;95884,35;94126,95;126426,75;165180,45;855565,95
"0418010013 CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE)";367824,05;500124,40;660047,90;668771,00;834509,90;657140,20;754548,15;886848,50;568455,35;5898269,45
"0418010021 CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO";-;6169,77;4798,71;5484,24;4113,18;4798,71;26735,67;22622,49;17823,78;92546,55
"0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE";866400,00;823800,00;822000,00;828000,00;892800,00;730800,00;774000,00;961396,80;1427990,40;8127187,20
"0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE";78000,00;97000,00;100000,00;128600,00;137200,00;160000,00;163600,00;155200,00;156800,00;1176400,00
"0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE";324499,62;323225,71;352988,88;318477,50;318130,07;282692,21;284429,36;342681,79;365612,17;2912737,31
"0418010080 IMPLANTE DE CATETER TIPO TENCKHOFF OU SIMILAR P/ DPA/DPAC";26400,00;6000,00;5200,00;2000,00;2000,00;3600,00;1200,00;2000,00;-;48400,00
"0418010099 IMPLANTE DE CATETER TIPO TENCKOFF OU SIMILAR P/DPI";551,45;-;-;-;110,29;-;-;-;-;661,74
"0418020019 INTERVENCAO EM FISTULA ARTERIO-VENOSA";32400,00;72600,00;82800,00;98400,00;95400,00;90000,00;100200,00;85200,00;115800,00;772800,00
"0418020027 LIGADURA DE FISTULA ARTERIO-VENOSA";14400,00;23400,00;24600,00;23400,00;23400,00;28200,00;31800,00;19200,00;34800,00;223200,00
"0418020035 RETIRADA DE CATETER TIPO TENCKHOFF / SIMILAR DE LONGA PERMANENCIA";168000,00;131600,00;166000,00;322800,00;406400,00;353200,00;420000,00;408800,00;342400,00;2719200,00
"0501010017 COLETA DE SANGUE EM HEMOCENTRO P/ EXAMES DE HISTOCOMPATIBILIDADE (CADASTRO DE DOADOR NO REDOME)";574200,00;396550,00;277997,50;297357,50;354145,00;280362,50;357005,00;114345,00;181857,50;2833820,00
"0501010025 IDENTIFICACAO DE DOADOR APARENTADO DE CELULAS-TRONCO HEMATOPOETICAS 1A FASE (POR DOADOR TIPADO)";-;-;6900,00;55350,00;55350,00;40500,00;145833,96;199769,88;143615,66;647319,50
