 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"352430 JABOTICABAL";-;2843595,69;3114022,13;3406179,21;3507317,86;3776837,90;4173861,57;4021446,07;4471477,24;4653973,07;5392734,95;5230302,56;1870187,11;46461935,36
"352440 JACAREI";-;2515995,83;2868242,31;3493314,89;4020524,11;4419971,11;4435737,41;4359824,56;4772301,58;5038935,12;5168289,84;5284581,58;1826182,24;48203900,58
"352530 JAU";-;3278466,22;3555209,60;3923114,55;4078634,90;4579626,00;4982070,45;5092136,25;5413570,09;6045439,10;6818784,92;7184767,94;2096900,05;57048720,07
"352590 JUNDIAI";12890,16;6871958,91;7015437,97;8041390,88;7792595,24;7829464,59;7802762,78;6541155,71;6443187,84;5663002,40;5742792,53;5373040,59;1627662,40;76757342,00
"352670 LEME";-;1903835,98;1622599,78;1951379,65;1870980,81;2441394,63;3060441,39;3217430,86;4014767,20;4520526,81;4615162,33;4961539,64;1681985,53;35862044,61
"352690 LIMEIRA";-;2757468,58;2999334,47;3300267,79;3399899,00;3862996,74;4040163,72;3992452,28;4682457,01;4976806,53;5832830,09;6027222,99;2007381,04;47879280,24
"352900 MARILIA";-;4818642,36;5123953,83;5538501,32;5686345,36;5965785,39;6184096,33;5998906,74;7001506,51;7844783,51;8817153,39;8900919,57;2923792,85;74804387,16
"352930 MATAO";-;2170101,07;2486596,77;3030965,01;3917927,62;4386559,88;4462943,52;4410989,02;5072846,85;5193699,80;5768831,48;6026309,48;1975354,31;48903124,81
"352940 MAUA";-;546693,08;-;-;-;-;-;-;-;-;418152,66;3187746,21;915198,84;5067790,79
"353060 MOGI DAS CRUZES";-;5509381,20;5467302,63;5780380,09;5855725,76;6420045,82;8356353,83;8406336,88;9295758,37;9845527,39;11347329,95;11215896,94;3769137,14;91269176,00
"353080 MOGI MIRIM";-;4274846,90;4765493,14;5380945,95;5374103,95;5350762,46;5515953,04;5146861,50;5892711,33;6139755,65;5579620,16;5254075,86;1728275,70;60403405,64
"353390 OLIMPIA";-;-;-;-;-;-;-;-;-;437331,98;1593372,48;1715938,32;636495,45;4383138,23
"353440 OSASCO";1611,27;9322569,43;9018676,95;8797301,48;8514219,43;9573473,80;9388715,99;9150784,86;11058459,93;12011863,61;14256130,39;15264300,81;5425881,75;121783989,70
"353470 OURINHOS";-;2839775,08;2825041,81;3145593,26;3183228,81;3278279,34;3596367,83;3727569,93;4412956,08;5096926,07;5625858,18;6238237,21;2299335,18;46269168,78
"353620 PARIQUERA-ACU";-;3697080,88;4203948,15;4964630,89;5033502,68;5155934,70;5176401,47;5381295,60;6740116,76;7203289,18;7748661,96;7959774,08;2832258,37;66096894,72
"353800 PINDAMONHANGABA";-;4058238,82;4137958,02;4435355,39;4640176,90;4853537,55;4980132,61;4536891,54;5124153,78;6208081,14;6731882,57;6695203,00;2202489,08;58604100,40
"353870 PIRACICABA";9483,94;6703502,49;6470727,40;6971626,44;6798605,07;6746322,49;6577298,38;7396325,23;8315866,10;8722314,03;9421805,30;9580623,58;3292075,95;87006576,40
"353930 PIRASSUNUNGA";-;-;-;-;-;-;-;177887,20;1309678,78;1747778,06;2130012,52;2284000,42;812322,97;8461679,95
"354100 PRAIA GRANDE";-;-;5400,00;321141,15;4220302,12;3858498,09;5003775,33;5196209,65;6008583,29;6509417,53;7121686,47;6705112,39;2003777,56;46953903,58
"354130 PRESIDENTE EPITACIO";-;-;-;-;-;-;-;-;307708,59;1923938,42;2768749,12;2902369,47;991643,66;8894409,26
"354140 PRESIDENTE PRUDENTE";4654,78;7862776,22;7569835,73;8653844,28;9216881,74;8925939,03;8968743,04;9065005,37;9567874,92;9532512,80;10012008,62;9989601,23;3412655,25;102782333,01
