cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
260400,CARPINA,26,11693702.2,12342112.76,14329118.16,14663524.45,14787667.96,17182730.6,17723875.96,20940059.68,22945200.66,24799770.04,24099309.35,7933587.64
260410,CARUARU,26,9079315.42,8786002.29,10069911.08,11764162.81,12885405.84,12956234.44,12578110.13,14986290.91,18084312.73,28256204.5,30012399.22,10877407.71
260600,GARANHUNS,26,6971160.68,6899279.89,8046624.65,8616009.58,9295651.8,9129590.24,9130225.57,11054634.29,12441136.48,12614572.06,12396074.73,4089831.53
260790,JABOATAO DOS GUARARAPES,26,8149112.96,9102067.48,9877749.22,9558242.11,9901486.89,9684640.61,9599677.56,11131057.62,12749922.38,14751972.33,16163527.06,5377895.71
260960,OLINDA,26,4856551.84,4254593.85,4622597.55,4507768.72,4782771.0,4959563.96,4521144.62,4139521.09,3559282.81,4113331.39,5598918.84,2325120.59
261000,PALMARES,26,5536487.88,5398499.49,6183057.07,6334176.2,7362005.24,7389647.84,7566412.3,9171511.35,9661065.81,11302087.19,11456669.78,3805294.85
261070,PAULISTA,26,0.0,0.0,0.0,0.0,0.0,73226.03,4450691.62,7896449.98,8516780.03,10108503.39,9682458.1,3297358.28
261110,PETROLINA,26,4958159.29,4762321.6,4924532.88,4871791.02,4866565.97,4821432.44,4630365.95,4898950.83,4777862.03,5090755.8,5115276.57,1653343.91
261160,RECIFE,26,54130198.56,56604516.43,63078827.84,66913002.74,69170865.75,71092551.68,67978056.61,75993262.55,82567794.12,88367148.64,87632831.93,29861744.98
261220,SALGUEIRO,26,3261030.65,3161036.38,3561926.7,3623473.25,3659158.23,3772137.8,3822383.34,4771471.24,5216746.7,6003876.33,5950378.53,1972398.0
261390,SERRA TALHADA,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542399.21,3996944.08,5184741.44,5164630.55,1745343.85
261640,VITORIA DE SANTO ANTAO,26,8207227.17,8173324.57,9030332.05,9036568.47,9676378.22,10136129.75,10256313.79,12307775.5,12928439.76,14197222.08,14216053.5,4979507.86
270030,ARAPIRACA,27,10017806.58,10960639.01,12205579.48,12910575.97,13202424.09,13178195.03,13310376.91,15465862.02,17588746.25,21223921.42,22535601.46,7077503.49
270430,MACEIO,27,24152057.58,24393352.85,25881092.72,26849118.14,28929164.4,30198138.89,30107364.11,35711819.87,39554961.46,44031220.11,49372881.84,17164821.93
270630,PALMEIRA DOS INDIOS,27,3818683.76,3864983.32,4183916.06,4115756.88,4223713.41,4223075.9,4136935.97,4606630.94,4880970.75,5268693.84,5144690.59,1651030.92
270800,SANTANA DO IPANEMA,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140053.49
270840,SAO JOSE DA TAPERA,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374934.08
270860,SAO MIGUEL DOS CAMPOS,27,2529015.3,2728415.5,2932073.28,3033764.67,3139008.03,3420120.96,4127808.59,5365680.57,5939960.04,7461161.28,7294026.82,2513746.91
280030,ARACAJU,28,18338853.48,18710838.32,18433539.56,18878144.77,19232589.48,19801864.96,20306294.19,21473105.13,24331399.93,28386939.33,31679573.9,11259578.04
280210,ESTANCIA,28,0.0,0.0,3501433.37,3681402.4,3775174.36,3720457.7,3293975.91,3622517.27,3877403.63,4254813.02,4316218.34,1678299.04
280290,ITABAIANA,28,2598123.08,3446330.05,3959227.0,4001719.38,4085970.15,4000372.53,3917648.44,4862025.06,5423278.83,6488021.01,7160870.85,2467098.89
280350,LAGARTO,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2591122.79,4210056.7,4717820.0,4614620.71,1534727.43
290070,ALAGOINHAS,29,3965651.96,3934374.49,4897008.1,5405963.15,6086441.3,6365238.87,6205918.56,7571707.31,9002468.51,10170428.4,10775041.4,3666213.92
290320,BARREIRAS,29,2560823.24,2359350.85,2201073.56,2875092.33,4391145.91,6529279.03,5264090.36,6131562.76,5774808.53,10145357.99,11090619.6,3840323.31
290390,BOM JESUS DA LAPA,29,0.0,0.0,0.0,0.0,0.0,0.0,7200.0,38911.4,19003.96,3523626.65,5379891.56,1863192.29
290460,BRUMADO,29,3395225.38,4810581.7,5938001.57,6502850.25,6419005.81,6067123.57,4456871.47,4649704.72,5170024.0,6179083.17,6208325.29,1542102.93
290570,CAMACARI,29,5728325.51,5933133.62,6330330.31,6310891.41,6360529.3,6752393.73,6815953.31,7669104.95,9578255.1,10688607.57,11143278.87,4016140.69
291070,EUCLIDES DA CUNHA,29,0.0,0.0,0.0,0.0,418004.38,2797896.24,4296435.93,6075698.47,7633179.7,8560014.25,8911339.64,3108412.37
291072,EUNAPOLIS,29,5790452.89,6151585.94,6438854.08,6364637.99,6330314.14,6430007.46,6687976.48,7893158.35,8755560.72,10183769.26,10796786.69,3630846.97
291080,FEIRA DE SANTANA,29,16866143.85,16644439.08,18903705.78,18596558.46,18255174.85,17412979.11,15938072.77,17658315.15,18355405.57,20118903.87,21662824.77,7765785.89
291170,GUANAMBI,29,5142246.39,5394896.27,6606582.66,6911720.13,6954839.06,6742137.97,6960994.97,7989819.6,8456850.76,9411394.07,9935735.34,3301914.1
291360,ILHEUS,29,4729084.65,4930329.01,5573429.54,7132287.57,7365720.03,7100453.75,6488703.82,7639802.68,8650390.43,9304650.65,9010240.68,3167539.83
291460,IRECE,29,23400.0,1200.0,682.34,4074003.15,6713616.73,6952765.11,7391443.19,8176211.2,8090461.88,8688165.3,8545517.45,2898669.76
291470,ITABERABA,29,0.0,36929.36,84987.64,67634.66,420618.01,4674960.0,5037163.45,6024956.38,6036007.8,7083405.07,7435788.83,2524532.6
291480,ITABUNA,29,6501212.24,6515579.32,7458258.32,7257897.35,6973159.62,6887329.31,6882021.75,8126090.76,9138936.94,10037416.94,10435260.37,3625872.18
291640,ITAPETINGA,29,0.0,0.0,1200.0,7200.0,359450.27,4423462.06,4762717.91,5252420.54,5844527.7,6674622.63,6491153.62,2152319.96
291750,JACOBINA,29,3018797.74,2985600.35,3412333.93,4139034.32,5194343.07,5651619.58,5746580.7,6534265.35,7736208.02,9159645.2,10482961.7,3781512.92
