cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023
311340,CARATINGA,31,26086.0,25759.0,26644.0,29908.0,31897.0,31261.0,29504.0,29904.0,29839.0
311530,CATAGUASES,31,10864.0,11193.0,11032.0,11990.0,12213.0,11727.0,11564.0,11908.0,12315.0
311830,CONSELHEIRO LAFAIETE,31,23643.0,19978.0,20822.0,23476.0,24531.0,24469.0,22926.0,21409.0,23121.0
311860,CONTAGEM,31,92118.0,93152.0,92579.0,80350.0,85752.0,92263.0,91096.0,87385.0,91981.0
312090,CURVELO,31,20181.0,20824.0,21881.0,23912.0,29050.0,33553.0,34740.0,34627.0,34120.0
312160,DIAMANTINA,31,13182.0,15054.0,16995.0,16900.0,17646.0,18509.0,20962.0,20523.0,17445.0
312230,DIVINOPOLIS,31,31610.0,31434.0,31355.0,31200.0,31697.0,31663.0,32441.0,32576.0,31563.0
312510,EXTREMA,31,14644.0,17303.0,17275.0,18118.0,18932.0,19808.0,18706.0,19290.0,19386.0
312610,FORMIGA,31,24225.0,23785.0,23904.0,24607.0,27179.0,28933.0,28849.0,31030.0,32410.0
312710,FRUTAL,31,6472.0,7522.0,9465.0,10232.0,10244.0,10359.0,12547.0,13972.0,15328.0
312770,GOVERNADOR VALADARES,31,56289.0,58748.0,62420.0,66438.0,68053.0,73398.0,70456.0,71570.0,75587.0
312870,GUAXUPE,31,16439.0,17877.0,17321.0,17453.0,17949.0,18260.0,18993.0,18900.0,20866.0
313130,IPATINGA,31,45540.0,49223.0,50153.0,51993.0,52347.0,49950.0,48414.0,39102.0,32931.0
313170,ITABIRA,31,22438.0,23285.0,24759.0,28400.0,28875.0,30381.0,30798.0,32055.0,32998.0
313240,ITAJUBA,31,22273.0,24459.0,26058.0,26822.0,26123.0,24331.0,24488.0,26908.0,27793.0
313330,ITAOBIM,31,19047.0,21728.0,22627.0,23322.0,26304.0,27723.0,27577.0,27346.0,27288.0
313380,ITAUNA,31,16767.0,16807.0,17344.0,17514.0,16633.0,16603.0,16041.0,16350.0,15807.0
313420,ITUIUTABA,31,20766.0,21528.0,22033.0,22715.0,24606.0,28088.0,27774.0,26537.0,27188.0
313510,JANAUBA,31,24073.0,26764.0,26823.0,29607.0,31691.0,34815.0,35714.0,37687.0,39986.0
313520,JANUARIA,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313620,JOAO MONLEVADE,31,24284.0,24333.0,24835.0,27423.0,28670.0,30374.0,30243.0,29330.0,28215.0
313630,JOAO PINHEIRO,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313670,JUIZ DE FORA,31,61104.0,65763.0,67283.0,66231.0,66522.0,70641.0,69513.0,71226.0,76507.0
313820,LAVRAS,31,20942.0,22404.0,23154.0,24946.0,26711.0,28143.0,28142.0,29256.0,31420.0
313840,LEOPOLDINA,31,13714.0,16696.0,19802.0,23056.0,24793.0,25966.0,24300.0,23509.0,23053.0
313940,MANHUACU,31,30674.0,31528.0,31777.0,31895.0,33456.0,33813.0,32515.0,30932.0,34980.0
314000,MARIANA,31,14675.0,15512.0,15205.0,18856.0,21936.0,22929.0,25337.0,28008.0,29323.0
314180,MINAS NOVAS,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,9888.0
314330,MONTES CLAROS,31,46507.0,47835.0,45963.0,49491.0,52451.0,54576.0,53778.0,53947.0,56151.0
314390,MURIAE,31,18065.0,18815.0,20106.0,20755.0,20304.0,19616.0,19104.0,18785.0,18680.0
314480,NOVA LIMA,31,14665.0,14460.0,14084.0,14593.0,16200.0,16271.0,15906.0,18462.0,18967.0
314520,NOVA SERRANA,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,699.0
314560,OLIVEIRA,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4803.0
314700,PARACATU,31,6551.0,7216.0,6568.0,7239.0,6810.0,6434.0,7058.0,7307.0,7215.0
314710,PARA DE MINAS,31,10917.0,11175.0,11282.0,11404.0,11740.0,12068.0,12859.0,14540.0,14880.0
314790,PASSOS,31,39280.0,40076.0,42404.0,44932.0,44084.0,44135.0,43109.0,45106.0,43438.0
314800,PATOS DE MINAS,31,29625.0,30024.0,30358.0,30456.0,30793.0,32888.0,26495.0,30626.0,33190.0
314810,PATROCINIO,31,17525.0,20028.0,21009.0,20904.0,21361.0,21614.0,20776.0,20897.0,22482.0
315120,PIRAPORA,31,10474.0,11226.0,12409.0,12458.0,12051.0,12711.0,13034.0,10916.0,10637.0
315140,PITANGUI,31,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
315180,POCOS DE CALDAS,31,15057.0,14140.0,14016.0,14854.0,16084.0,16582.0,16753.0,17237.0,16385.0
315210,PONTE NOVA,31,23601.0,22725.0,24049.0,24267.0,22828.0,23532.0,23626.0,25749.0,27482.0
315250,POUSO ALEGRE,31,26206.0,26144.0,26540.0,26769.0,26594.0,30423.0,30620.0,32323.0,35924.0
315700,SALINAS,31,12193.0,12355.0,14293.0,14602.0,15203.0,16307.0,16782.0,18063.0,20651.0
316210,SAO GOTARDO,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
316250,SAO JOAO DEL REI,31,26585.0,27179.0,24882.0,25634.0,26036.0,26454.0,27419.0,28803.0,27298.0
316370,SAO LOURENCO,31,23290.0,25294.0,25871.0,25496.0,26054.0,28218.0,26590.0,24678.0,25924.0
316470,SAO SEBASTIAO DO PARAISO,31,15134.0,14197.0,14235.0,15557.0,17090.0,17500.0,18517.0,20305.0,22743.0
316720,SETE LAGOAS,31,28613.0,27488.0,27761.0,27507.0,28090.0,28954.0,29031.0,31604.0,35887.0
316860,TEOFILO OTONI,31,39044.0,42562.0,41111.0,42787.0,47027.0,51635.0,54601.0,54880.0,55207.0
316870,TIMOTEO,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10091.0,17070.0
316930,TRES CORACOES,31,17097.0,16971.0,16690.0,17141.0,16916.0,15698.0,14308.0,13328.0,15058.0
316940,TRES PONTAS,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316990,UBA,31,24416.0,23977.0,23647.0,24358.0,23565.0,22695.0,24359.0,22790.0,22779.0
317010,UBERABA,31,27071.0,29935.0,31710.0,32086.0,34593.0,36571.0,34756.0,32868.0,35203.0
317020,UBERLANDIA,31,68501.0,70442.0,72416.0,75496.0,80522.0,85258.0,83378.0,84759.0,89116.0
317040,UNAI,31,14118.0,14096.0,15596.0,14031.0,12842.0,13604.0,15876.0,16912.0,18924.0
