data,ano,mes,mes_nome,grupo_procedimento,valor_aprovado,qtd_aprovada,custo_medio
2025-07-01,2025,7,Julho,04 Procedimentos cirurgicos,4041064.85,115890.0,34.869832168435586
2025-07-01,2025,7,Julho,"07 Orteses, proteses e materiais especiais",1651389.34,82640.0,19.982930058083255
2025-08-01,2025,8,Agosto,03 Procedimentos clinicos,388676596.88,15883940.0,24.469785008001793
2025-08-01,2025,8,Agosto,04 Procedimentos cirurgicos,3946979.13,114040.0,34.61047991932655
2025-08-01,2025,8,Agosto,"07 Orteses, proteses e materiais especiais",1609259.8,79940.0,20.13084563422567
2025-09-01,2025,9,Setembro,03 Procedimentos clinicos,390110712.17,15944140.0,24.46734111529377
2025-09-01,2025,9,Setembro,04 Procedimentos cirurgicos,4008028.94,113060.0,35.45045940208739
2025-09-01,2025,9,Setembro,"07 Orteses, proteses e materiais especiais",1599700.72,79230.0,20.190593462072446
2025-10-01,2025,10,Outubro,03 Procedimentos clinicos,405968479.22,16592920.0,24.466367536274507
2025-10-01,2025,10,Outubro,04 Procedimentos cirurgicos,4008531.41,115370.0,34.74500658750109
2025-10-01,2025,10,Outubro,"07 Orteses, proteses e materiais especiais",1673536.12,82380.0,20.31483515416363
2025-11-01,2025,11,Novembro,03 Procedimentos clinicos,377079734.99,15414820.0,24.46215622303731
2025-11-01,2025,11,Novembro,04 Procedimentos cirurgicos,3611662.8,103860.0,34.774338532640094
2025-11-01,2025,11,Novembro,"07 Orteses, proteses e materiais especiais",1493005.6,74500.0,20.040343624161075
2025-12-01,2025,12,Dezembro,03 Procedimentos clinicos,412860763.1,16839740.0,24.517050922401417
2025-12-01,2025,12,Dezembro,04 Procedimentos cirurgicos,3554222.94,108030.0,32.90033268536518
2025-12-01,2025,12,Dezembro,"07 Orteses, proteses e materiais especiais",1565019.02,79620.0,19.65610424516453
2026-01-01,2026,1,Janeiro,03 Procedimentos clinicos,402063457.1,16401530.0,24.51377750124531
2026-01-01,2026,1,Janeiro,04 Procedimentos cirurgicos,3685794.49,113830.0,32.379816305016256
2026-01-01,2026,1,Janeiro,"07 Orteses, proteses e materiais especiais",1647605.88,83670.0,19.69171602724991
2026-02-01,2026,2,Fevereiro,03 Procedimentos clinicos,364600715.91,14875800.0,24.509654331867868
2026-02-01,2026,2,Fevereiro,04 Procedimentos cirurgicos,3454562.84,103710.0,33.309833574390126
2026-02-01,2026,2,Fevereiro,"07 Orteses, proteses e materiais especiais",1472664.3,75030.0,19.627672930827668
2026-03-01,2026,3,Março,03 Procedimentos clinicos,406528635.73,16168430.0,25.143358738603563
2026-03-01,2026,3,Março,04 Procedimentos cirurgicos,3928195.8,115170.0,34.107804115655114
2026-03-01,2026,3,Março,"07 Orteses, proteses e materiais especiais",1632901.08,82560.0,19.778356104651163
2026-04-01,2026,4,Abril,03 Procedimentos clinicos,391812494.81,15262430.0,25.671698072325313
2026-04-01,2026,4,Abril,04 Procedimentos cirurgicos,3543497.61,100930.0,35.10846735361141
2026-04-01,2026,4,Abril,"07 Orteses, proteses e materiais especiais",1408548.12,72030.0,19.555020408163266
