cod_municipio,municipio,uf_ibge,ano,valor_aprovado,qtd_aprovada,custo_medio
353080,MOGI MIRIM,35,2015,4274846.9,23259.0,183.79323702652738
353390,OLIMPIA,35,2015,0.0,0.0,
353440,OSASCO,35,2015,9322569.43,50995.0,182.81340190214726
353470,OURINHOS,35,2015,2839775.08,15726.0,180.57834668701514
353620,PARIQUERA-ACU,35,2015,3697080.88,20438.0,180.89249828750366
353800,PINDAMONHANGABA,35,2015,4058238.82,22380.0,181.33328060768542
353870,PIRACICABA,35,2015,6703502.49,36893.0,181.7012032092809
353930,PIRASSUNUNGA,35,2015,0.0,0.0,
354100,PRAIA GRANDE,35,2015,0.0,0.0,
354130,PRESIDENTE EPITACIO,35,2015,0.0,0.0,
354140,PRESIDENTE PRUDENTE,35,2015,7862776.22,43142.0,182.2534008622688
354160,PROMISSAO,35,2015,2546484.08,13947.0,182.5829267942927
354340,RIBEIRAO PRETO,35,2015,16826365.85,91166.0,184.56843395564138
354390,RIO CLARO,35,2015,2718308.59,15053.0,180.58251444894705
354580,SANTA BARBARA D'OESTE,35,2015,3633332.9,19972.0,181.92133486881633
354730,SANTANA DE PARNAIBA,35,2015,4004693.57,22076.0,181.4048545932234
354780,SANTO ANDRE,35,2015,6817894.57,37678.0,180.95160491533522
354850,SANTOS,35,2015,7004381.67,38969.0,179.7424021658241
354870,SAO BERNARDO DO CAMPO,35,2015,8355968.44,45376.0,184.14951604372357
354880,SAO CAETANO DO SUL,35,2015,5836372.13,32217.0,181.15815035540243
354890,SAO CARLOS,35,2015,3710782.17,20515.0,180.8814121374604
354910,SAO JOAO DA BOA VISTA,35,2015,6380336.78,34905.0,182.79148488755195
354940,SAO JOAQUIM DA BARRA,35,2015,0.0,0.0,
354970,SAO JOSE DO RIO PARDO,35,2015,1622372.94,9064.0,178.9908362753751
354980,SAO JOSE DO RIO PRETO,35,2015,12502792.58,67623.0,184.8896467178327
354990,SAO JOSE DOS CAMPOS,35,2015,7742387.65,42443.0,182.41848243526613
355030,SAO PAULO,35,2015,180867255.49,981936.0,184.19454576469343
355060,SAO ROQUE,35,2015,2841895.04,15871.0,179.0621284103081
355070,SAO SEBASTIAO,35,2015,3339642.73,18435.0,181.1577287767833
355100,SAO VICENTE,35,2015,3581966.82,19593.0,182.81870157709386
355150,SERRANA,35,2015,0.0,0.0,
355170,SERTAOZINHO,35,2015,4535378.84,25263.0,179.526534457507
355220,SOROCABA,35,2015,10798919.49,59112.0,182.6857404587901
355240,SUMARE,35,2015,8008298.63,43532.0,183.96348961683358
355250,SUZANO,35,2015,5585186.68,30422.0,183.59038459009926
355280,TABOAO DA SERRA,35,2015,9129196.14,50190.0,181.89273042438734
355410,TAUBATE,35,2015,9944327.39,54362.0,182.9279163754093
355500,TUPA,35,2015,2404657.3,13075.0,183.91260420650093
355710,VOTUPORANGA,35,2015,4538116.21,24707.0,183.67734690573522
410140,APUCARANA,41,2015,3042730.17,16819.0,180.91029014804684
410150,ARAPONGAS,41,2015,2001280.72,11243.0,178.00237658987814
410180,ARAUCARIA,41,2015,0.0,0.0,
410400,CAMPINA GRANDE DO SUL,41,2015,3632076.9,19925.0,182.28742283563363
410420,CAMPO LARGO,41,2015,2392964.87,13103.0,182.62725101121882
410430,CAMPO MOURAO,41,2015,3497645.26,19330.0,180.94388308329022
410480,CASCAVEL,41,2015,4614388.95,25677.0,179.7090372707092
410490,CASTRO,41,2015,1238825.47,6828.0,181.43313854715876
410550,CIANORTE,41,2015,2171699.51,12070.0,179.92539436619717
410580,COLOMBO,41,2015,0.0,0.0,
410590,COLORADO,41,2015,0.0,0.0,
410640,CORNELIO PROCOPIO,41,2015,7166360.06,39686.0,180.57652723882475
410690,CURITIBA,41,2015,21031176.4,113907.0,184.63462649354295
410830,FOZ DO IGUACU,41,2015,6045764.13,32999.0,183.2105254704688
410840,FRANCISCO BELTRAO,41,2015,2475149.53,13617.0,181.76907762355876
410940,GUARAPUAVA,41,2015,4640336.47,25730.0,180.34731713952584
411070,IRATI,41,2015,2136332.05,11796.0,181.10648101051203
411150,IVAIPORA,41,2015,3194143.06,17666.0,180.8073734857919
411370,LONDRINA,41,2015,11510677.85,63209.0,182.10504595864512
411520,MARINGA,41,2015,9430768.89,51574.0,182.85897719781286
411580,MEDIANEIRA,41,2015,0.0,0.0,
411820,PARANAGUA,41,2015,2223751.5,12160.0,182.87430098684212
411840,PARANAVAI,41,2015,5361311.59,29521.0,181.61009417025167
411850,PATO BRANCO,41,2015,1981940.23,10536.0,188.11125949126804
411990,PONTA GROSSA,41,2015,4430744.91,24668.0,179.61508472514998
412240,ROLANDIA,41,2015,0.0,0.0,
412410,SANTO ANTONIO DA PLATINA,41,2015,3666795.49,20408.0,179.67441640533124
412550,SAO JOSE DOS PINHAIS,41,2015,2841691.17,15545.0,182.8041923448054
412710,TELEMACO BORBA,41,2015,2236360.6,12369.0,180.8036704664888
412770,TOLEDO,41,2015,2839370.75,15728.0,180.5296763733469
412810,UMUARAMA,41,2015,3590695.55,19751.0,181.79816464989113
412820,UNIAO DA VITORIA,41,2015,1226244.66,6812.0,180.01242806811507
420140,ARARANGUA,42,2015,1394799.39,7557.0,184.57051607780863
420200,BALNEARIO CAMBORIU,42,2015,2756519.91,15037.0,183.31581498969211
420240,BLUMENAU,42,2015,3360338.28,18343.0,183.1945854004252
420290,BRUSQUE,42,2015,1969152.24,10683.0,184.32577365908452
420420,CHAPECO,42,2015,4619659.24,25080.0,184.1969393939394
420430,CONCORDIA,42,2015,1161035.93,6542.0,177.47415622133903
420460,CRICIUMA,42,2015,4696877.59,25728.0,182.55898592972636
420480,CURITIBANOS,42,2015,1176190.68,6402.0,183.72238050609184
420540,FLORIANOPOLIS,42,2015,4222847.82,22905.0,184.36358087753766
420820,ITAJAI,42,2015,3312196.34,17819.0,185.88003479432066
420890,JARAGUA DO SUL,42,2015,2047963.28,11067.0,185.05134905575133
420900,JOACABA,42,2015,1807829.04,10029.0,180.26014956625787
420910,JOINVILLE,42,2015,8748507.81,47135.0,185.60534231462822
420930,LAGES,42,2015,2856958.82,15614.0,182.97417830152426
421003,LUZERNA,42,2015,0.0,0.0,
421010,MAFRA,42,2015,2824970.56,15558.0,181.57671680164546
421480,RIO DO SUL,42,2015,3195585.71,17364.0,184.0351134531214
421580,SAO BENTO DO SUL,42,2015,2295953.3,12516.0,183.4414589325663
421660,SAO JOSE,42,2015,2285172.9,12806.0,178.44548649070748
421720,SAO MIGUEL DO OESTE,42,2015,2754189.95,14947.0,184.2637285073928
421820,TIMBO,42,2015,1637279.35,8948.0,182.977128967367
421870,TUBARAO,42,2015,3324787.47,18101.0,183.67976741616485
