cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
314330,MONTES CLAROS,31,8466682.64,8749261.6,9106869.54,9795025.87,10383778.37,10745182.0,10533005.56,11806126.86,12801436.61,92387369.05,9300323.603999998,10639093.780000001,12303781.735,32.294125009889285,0.32597313695138785,57
260120,ARCOVERDE,26,8689600.7,8865093.52,9901002.5,10109631.36,10531756.66,10952464.26,10280561.73,12086952.12,10837591.83,92254654.67999999,9619416.947999999,10616512.995000001,11462271.975,19.157658275568924,0.32550487684232454,58
240800,MOSSORO,24,8087930.52,8153727.8,8994341.41,9355505.06,9837651.58,10030108.21,10229693.75,12641730.81,14916800.42,92247489.56,8885831.274,10129900.98,13779265.615,55.07007943441624,0.3254795959336132,59
354870,SAO BERNARDO DO CAMPO,35,8355968.44,9221522.33,9657555.22,10353362.69,10547436.8,10410846.04,10408925.26,11275630.78,11763092.82,91994340.38,9627169.096,10409885.649999999,11519361.8,19.65471557766849,0.32458640205689815,60
110020,PORTO VELHO,11,6867118.95,7801568.22,9464729.33,10535412.43,10914288.97,10800208.98,10294940.15,11709927.27,12670178.83,91058373.13,9116623.58,10547574.565000001,12190053.05,33.712365581732186,0.32128400061713924,61
354990,SAO JOSE DOS CAMPOS,35,7742387.65,8659624.56,10118822.78,10163529.43,10256210.44,10414503.04,8984695.13,11298628.75,12842625.34,90481027.12,9388114.972,9699599.085,12070627.045,28.573489790022588,0.31924693330023995,62
351380,DIADEMA,35,7776207.28,8477949.74,9604873.27,10272856.3,10642210.32,10455083.62,9711254.97,11251237.65,12010794.91,90202468.06,9354819.382000001,10083169.295,11631016.280000001,24.331810215168083,0.31826408497856856,63
260790,JABOATAO DOS GUARARAPES,26,8149112.96,9102067.48,9877749.22,9558242.11,9901486.89,9684640.61,9599677.56,11131057.62,12749922.38,89753956.83,9317731.732,9642159.085,11940490.0,28.148033700011222,0.31668158929648127,64
261640,VITORIA DE SANTO ANTAO,26,8207227.17,8173324.57,9030332.05,9036568.47,9676378.22,10136129.75,10256313.79,12307775.5,12928439.76,89752489.28,8824766.095999999,10196221.77,12618107.629999999,42.98517935471862,0.3166764112956133,65
330100,CAMPOS DOS GOYTACAZES,33,9971645.1,9187010.46,9460522.68,9309414.95,9699284.15,9610999.13,9199969.68,9909897.25,11954075.17,88302818.57000001,9525575.467999998,9405484.405000001,10931986.21,14.764575082362906,0.31156149446505066,66
353440,OSASCO,35,9322569.43,9018676.95,8797301.48,8514219.43,9573473.8,9388715.99,9150784.86,11058459.93,12011863.61,86836065.48,9045248.218,9269750.425,11535161.77,27.527310384308556,0.30638630535860817,67
316860,TEOFILO OTONI,31,7040309.38,7798602.01,8134429.75,8466223.33,9322415.72,10185014.11,10728935.62,12091058.3,12732621.76,86499609.98,8152396.038,10456974.864999998,12411840.030000001,52.24775602345439,0.3051991792838285,68
330510,SAO JOAO DE MERITI,33,9111772.96,8921257.36,10113538.69,10021279.8,9881712.08,9139597.91,8368065.9,9374491.07,10521046.33,85452762.1,9609912.178,8753831.905000001,9947768.7,3.515708736375922,0.3015055543774863,69
330350,NOVA IGUACU,33,9398080.22,9569526.49,10183708.82,9645284.2,8184575.88,9111462.23,9304918.03,9582779.31,10396173.66,85376508.84,9396235.122000001,9208190.129999999,9989476.485,6.3136070489658636,0.30123650770345967,70
220390,FLORIANO,22,6880534.7,7380683.38,8486445.33,9260471.73,9808293.86,10011599.45,10099620.81,11447325.42,11126721.62,84501696.30000001,8363285.8,10055610.129999999,11287023.52,34.95919893111867,0.29814988026899,71
313130,IPATINGA,31,8218462.84,8908992.49,9811280.43,10149408.1,10212750.29,9625423.19,9412426.54,8563290.88,7609199.62,82511234.38,9460178.83,9518924.864999998,8086245.25,-14.52333623591765,0.2911268735234084,72
150080,ANANINDEUA,15,3424953.58,2671574.3,6517459.13,8979758.48,9477061.12,11907226.64,12191681.06,13822946.24,13144154.28,82136814.83,6214161.322,12049453.850000001,13483550.26,116.98101419195824,0.2898057977475264,73
330330,NITEROI,33,9263733.21,9201240.07,9463292.3,9039690.86,8526150.07,8641124.31,8423666.83,9149562.57,10136101.04,81844561.25999999,9098821.302,8532395.57,9642831.805,5.978911827627842,0.2887746306737396,74
260290,CABO DE SANTO AGOSTINHO,26,7036891.26,7550568.04,8250984.58,8310509.27,8654870.35,9166558.51,9784518.81,11205249.66,11664113.6,81624264.08,7960764.7,9475538.66,11434681.629999999,43.637980280964705,0.28799734949813566,75
260600,GARANHUNS,26,6971160.68,6899279.89,8046624.65,8616009.58,9295651.8,9129590.24,9130225.57,11054634.29,12441136.48,81584313.17999999,7965745.319999998,9129907.905000001,11747885.385,47.48005256336769,0.28785638953433385,76
350760,BRAGANCA PAULISTA,35,9449903.51,8617865.76,8799013.98,8906350.36,8975137.92,9498940.46,8706623.56,9641926.05,8977780.1,81573541.7,8949654.306,9102782.010000002,9309853.075,4.0247227064236,0.28781838419701,77
320130,CARIACICA,32,8009661.5,8751606.33,9363596.01,9812568.43,8769848.02,8414027.35,8540835.77,9566133.06,10293091.98,81521368.45,8941456.057999998,8477431.559999999,9929612.52,11.051404330460123,0.28763429974756277,78
210120,BACABAL,21,6118617.1,7123433.45,8105712.98,8162669.05,8556659.95,8772123.63,9423017.72,11192380.25,13207606.66,80662220.78999999,7613418.506,9097570.675,12199993.455,60.24330522990955,0.2846029431810273,79
120040,RIO BRANCO,12,6253849.83,7020355.3,8332802.66,8640072.25,9186895.33,10217402.09,9748137.89,10248470.79,10998540.98,80646527.11999999,7886795.073999999,9982769.99,10623505.885,34.6999102337777,0.2845475707324688,80
330414,QUEIMADOS,33,6910654.73,7184050.16,7800730.67,8591597.67,9277808.85,9303237.41,8959422.26,10443699.49,11548101.75,80019302.99000001,7952968.416000001,9131329.835,10995900.620000001,38.26159045065669,0.2823345169424313,81
410830,FOZ DO IGUACU,41,6045764.13,6809948.09,7627988.31,8126881.82,8861445.48,9398034.98,9294328.23,11269433.3,12121649.44,79555473.78,7494405.566,9346181.605,11695541.370000001,56.05695831380366,0.28069797437012833,82
431440,PELOTAS,43,7930042.59,8322724.55,8889572.71,8459791.17,8277256.96,8483220.69,8645284.9,9659607.97,10745594.34,79413095.88000001,8375877.596000001,8564252.795,10202601.155000001,21.809339237149004,0.2801956181370979,83
354140,PRESIDENTE PRUDENTE,35,7862776.22,7569835.73,8653844.28,9216881.74,8925939.03,8968743.04,9065005.37,9567874.92,9532512.8,79363413.13,8445855.4,9016874.204999998,9550193.86,13.075507544209186,0.2800203209938152,84
310160,ALFENAS,31,7168112.68,7435560.41,7837278.58,7975165.22,7905709.27,8936345.01,9484114.87,10363310.77,10803745.57,77909342.38,7664365.231999999,9210229.94,10583528.17,38.08747169057145,0.27488987936959014,85
292400,PAULO AFONSO,29,5809471.16,5954491.18,6965254.08,7685553.69,7993375.12,8967072.83,9764297.15,11866646.85,12854523.77,77860685.83,6881629.046000001,9365684.99,12360585.309999999,79.6171404674113,0.2747182029986769,86
314790,PASSOS,31,7170876.59,7359635.69,8363001.45,8839484.51,8692254.59,8714986.94,8489860.04,9952568.45,10083540.07,77666208.32999998,8085050.566,8602423.489999998,10018054.26,23.908368639385458,0.27403202217771244,87
520110,ANAPOLIS,52,7241355.85,7349792.5,8369456.62,9011391.85,9344293.55,9093197.59,8318479.08,8886486.14,8777806.17,76392259.35000001,8263258.074000001,8705838.335,8832146.155000001,6.884549361830805,0.26953710961989447,88
230420,CRATO,23,6799877.6,7033280.85,7923371.21,7606576.32,7665740.78,8001140.74,8534337.26,10191394.93,11687549.83,75443269.52,7405769.352,8267739.0,10939472.379999999,47.715542572841386,0.26618876021887783,89
160030,MACAPA,16,5560671.8,5874762.92,7634081.04,8203264.68,8499067.15,8222947.03,8492738.28,10536125.06,12284229.66,75307887.62,7154369.517999999,8357842.654999999,11410177.36,59.485435177657834,0.26571108818336886,90
510760,RONDONOPOLIS,51,7542520.4,8011396.76,8743869.18,7887979.46,7367222.78,7658434.46,8068221.21,9877710.08,10045586.45,75202940.78,7910597.716,7863327.835,9961648.265,25.927883361475203,0.2653408010867699,91
