cod_municipio,municipio,uf_ibge,valor_2015,qtd_2015,valor_2016,qtd_2016,valor_2017,qtd_2017,valor_2018,qtd_2018,valor_2019,qtd_2019,valor_2020,qtd_2020,valor_2021,qtd_2021,valor_2022,qtd_2022,valor_2023,qtd_2023,valor_2024,qtd_2024,valor_2025,qtd_2025,valor_2026,qtd_2026,periodo_analise,valor_periodo,qtd_periodo,custo_medio_periodo,media_valor_pre_pandemia,media_qtd_pre_pandemia,media_valor_pandemia,media_qtd_pandemia,media_valor_pos_pandemia,media_qtd_pos_pandemia,crescimento_valor_pos_vs_pre_pct,crescimento_qtd_pos_vs_pre_pct,participacao_valor_nacional_pct,participacao_qtd_nacional_pct,ranking_valor,ranking_qtd
355220,SOROCABA,35,10798919.49,59112.0,10212831.42,55385.0,10848841.78,54440.0,10858933.83,54077.0,10591880.26,53043.0,10204643.09,51260.0,10163280.26,51102.0,20465061.51,92452.0,24304787.23,105079.0,28338831.0,113467.0,29240586.19,119698.0,15429303.43,60636.0,2015_2026,191457899.49,869751.0,220.12955373434468,10662281.355999999,55211.4,10183961.675,51181.0,23555713.872,98266.4,120.92564513638973,77.98208341031017,0.4782611400829878,0.46269976038377664,31,32
411370,LONDRINA,41,11510677.85,63209.0,10990867.43,60333.0,12506611.01,63544.0,12879997.29,65269.0,14451697.22,73108.0,16127329.45,82356.0,16992235.96,88145.0,18378357.87,83643.0,19843786.82,85796.0,21838568.2,89384.0,22571723.04,92582.0,12135769.809999999,48344.0,2015_2026,190227621.95,895713.0,212.3756403557836,12467970.16,65092.6,16559782.705,85250.5,18953641.148000002,79949.8,52.01865985216636,22.824714330046735,0.4751879112401652,0.4765113124016342,32,30
260410,CARUARU,26,9079315.42,50528.0,8786002.29,48707.0,10069911.08,51465.0,11764162.81,60174.0,12885405.84,66154.0,12956234.44,65648.0,12578110.13,64249.0,14986290.91,69139.0,18084312.73,79304.0,28256204.5,116607.0,30012399.22,123418.0,16740604.66,64599.0,2015_2026,186198954.02999997,859992.0,216.51242573186724,10516959.488,55405.6,12767172.285,64948.5,21615962.404,90613.4,105.53433174924862,63.54556218144014,0.4651243133548473,0.4575080595848293,33,33
330170,DUQUE DE CAXIAS,33,15758330.74,84692.0,15227817.41,80541.0,16085965.48,79858.0,15587192.65,77770.0,15475325.22,77100.0,14714379.44,73872.0,13644016.13,68214.0,15679749.62,70748.0,17271253.7,73935.0,18327873.62,74067.0,16701052.04,67221.0,7993892.09,31484.0,2015_2026,182466848.14,859502.0,212.29368650683767,15626926.3,79992.2,14179197.785,71043.0,15194764.213999998,63491.0,-2.765496411152868,-20.628511279849782,0.4558015263472782,0.4572473839631995,34,34
293330,VITORIA DA CONQUISTA,29,12339973.88,68050.0,12591780.6,69310.0,12333387.84,62766.0,13044853.96,66616.0,13427490.95,68596.0,13821137.59,70693.0,14939645.78,76966.0,17158654.74,78440.0,17511286.69,76638.0,19216967.71,79364.0,19826787.51,81852.0,10159917.48,40720.0,2015_2026,176371884.73,840011.0,209.9637799147868,12747497.446,67067.6,14380391.684999999,73829.5,16774722.826000001,71402.8,31.592282305290386,6.463925949340665,0.4405763298053986,0.4468783461240477,35,35
313670,JUIZ DE FORA,31,11101312.17,61104.0,12077145.51,65763.0,13393445.57,67283.0,13184915.56,66231.0,13234921.79,66522.0,13886479.37,70641.0,13594388.97,69513.0,15741581.07,71226.0,17731270.46,76507.0,18934654.41,77446.0,20817024.37,84918.0,11160559.56,44200.0,2015_2026,174857698.81,821354.0,212.88956869997588,12598348.120000001,65380.6,13740434.17,70077.0,16877017.974,70859.4,33.96214974570808,8.379855798203128,0.43679389885673653,0.43695298883273087,36,36
270030,ARAPIRACA,27,10017806.58,54819.0,10960639.01,59016.0,12205579.48,61092.0,12910575.97,64779.0,13202424.09,66594.0,13178195.03,66557.0,13310376.91,66999.0,15465862.02,69792.0,17588746.25,75650.0,21223921.42,86788.0,22535601.46,92438.0,10777620.93,42856.0,2015_2026,173377349.15,807380.0,214.74070344819046,11859405.025999999,61260.0,13244285.969999999,66778.0,17518350.416,73504.8,47.71694176557422,19.988246816846235,0.43309599076310873,0.4295189456967035,37,37
312770,GOVERNADOR VALADARES,31,10233003.0,56289.0,10717370.74,58748.0,12285806.28,62420.0,13047646.49,66438.0,13341519.94,68053.0,14282029.39,73398.0,13774181.51,70456.0,15732789.54,71570.0,17295402.48,75587.0,19171839.24,79720.0,19496863.43,81010.0,9910547.8,39872.0,2015_2026,169288999.84000003,803561.0,210.673489430174,11925069.290000001,62389.6,14028105.45,71927.0,16321488.498,69551.8,36.86703281201646,11.479797915037127,0.42288330898154447,0.4274872718211855,38,38
330045,BELFORD ROXO,33,12716421.99,69087.0,12802332.59,68349.0,13531068.06,67119.0,13767774.59,68140.0,14154187.63,70141.0,13826372.47,68971.0,13070725.8,65091.0,14931968.67,66819.0,15843872.26,67625.0,18418738.19,74453.0,17288028.87,69868.0,8507374.11,33686.0,2015_2026,168858865.23000002,789349.0,213.9216813222035,13394356.972000001,68567.2,13448549.135000002,67031.0,14997996.420000002,62490.2,11.972500444420753,-8.862838208356184,0.42180883428232474,0.4199266148117952,39,40
210530,IMPERATRIZ,21,10838501.84,59824.0,11051146.13,60614.0,11814573.7,60102.0,11955573.43,61039.0,13230256.74,67566.0,14345158.97,74272.0,14092665.78,72873.0,16065081.58,73459.0,18009367.53,78637.0,19000024.41,78609.0,17606607.62,72831.0,9350832.25,37385.0,2015_2026,167359789.98000002,797211.0,209.9316115557864,11778010.368,61829.0,14218912.375,73572.5,16006382.678,68184.2,35.90056535769555,10.278671820666663,0.41806414973264056,0.42410912856129046,40,39
520140,APARECIDA DE GOIANIA,52,8274955.32,45661.0,9132719.21,50369.0,11584087.64,59363.0,13307693.52,68043.0,13868467.81,70738.0,14083768.49,71994.0,13816860.22,71074.0,15378014.53,70525.0,16643233.55,72003.0,19466334.63,79573.0,19632554.47,80577.0,8196442.470000001,32770.0,2015_2026,163385131.85999998,772690.0,211.4497817494726,11233584.7,58834.8,13950314.355,71534.0,15863315.929999998,67089.6,41.21330237533169,14.030471761610475,0.4081354681322733,0.41106417566745007,41,41
355410,TAUBATE,35,9944327.39,54362.0,10968947.95,59501.0,12750147.29,64056.0,13089467.33,65854.0,12817500.71,64711.0,13769544.15,69775.0,13765296.61,70539.0,15426996.52,69934.0,15378574.11,66353.0,16174467.42,66089.0,16718144.48,67964.0,9024600.27,35613.0,2015_2026,159828014.23,754751.0,211.7625736567424,11914078.134,61696.8,13767420.379999999,70157.0,14544556.559999999,61190.6,22.07874076713687,-0.8204639462662588,0.39924980116494113,0.40152078796048046,42,42
