cod_municipio,municipio,uf_ibge,ano,valor_aprovado
421010,MAFRA,42,2015,2824970.56
352050,INDAIATUBA,35,2015,2255701.36
431240,MONTENEGRO,43,2015,2391279.85
150060,ALTAMIRA,15,2015,1963828.04
317040,UNAI,31,2015,2533180.91
410840,FRANCISCO BELTRAO,41,2015,2475149.53
520800,FORMOSA,52,2015,3490446.09
521250,LUZIANIA,52,2015,2464197.15
110030,VILHENA,11,2015,2230259.46
240020,ASSU,24,2015,1866097.4
351440,DRACENA,35,2015,2506152.63
350960,CAMPO LIMPO PAULISTA,35,2015,0.0
354970,SAO JOSE DO RIO PARDO,35,2015,1622372.94
520450,CALDAS NOVAS,52,2015,1260180.95
500110,AQUIDAUANA,50,2015,2053193.88
280210,ESTANCIA,28,2015,0.0
420290,BRUSQUE,42,2015,1969152.24
432150,TORRES,43,2015,1409379.98
210330,CODO,21,2015,0.0
330030,BARRA DO PIRAI,33,2015,4458715.55
430160,BAGE,43,2015,2516782.78
352670,LEME,35,2015,1903835.98
351110,CATANDUVA,35,2015,2027052.52
521150,ITUMBIARA,52,2015,2021048.28
431720,SANTA ROSA,43,2015,1926416.32
420890,JARAGUA DO SUL,42,2015,2047963.28
430610,CRUZ ALTA,43,2015,2189390.81
432250,VACARIA,43,2015,2168763.58
430930,GUAIBA,43,2015,2040278.57
350330,ARARAS,35,2015,1785203.15
351907,HORTOLANDIA,35,2015,0.0
521020,IPORA,52,2015,1888152.25
411070,IRATI,41,2015,2136332.05
411850,PATO BRANCO,41,2015,1981940.23
430850,FREDERICO WESTPHALEN,43,2015,2113737.34
291470,ITABERABA,29,2015,0.0
432300,VIAMAO,43,2015,1946260.41
350160,AMERICANA,35,2015,2703973.49
410150,ARAPONGAS,41,2015,2001280.72
314710,PARA DE MINAS,31,2015,1955088.97
421660,SAO JOSE,42,2015,2285172.9
210005,ACAILANDIA,21,2015,0.0
421820,TIMBO,42,2015,1637279.35
410550,CIANORTE,41,2015,2171699.51
241120,SANTA CRUZ,24,2015,0.0
330580,TERESOPOLIS,33,2015,0.0
500630,PARANAIBA,50,2015,1847232.78
291070,EUCLIDES DA CUNHA,29,2015,0.0
261070,PAULISTA,26,2015,0.0
315120,PIRAPORA,31,2015,1886778.75
311530,CATAGUASES,31,2015,1963748.94
291640,ITAPETINGA,29,2015,0.0
410580,COLOMBO,41,2015,0.0
350010,ADAMANTINA,35,2015,1763731.21
500830,TRES LAGOAS,50,2015,1619436.84
312710,FRUTAL,31,2015,1188880.35
352044,ILHA SOLTEIRA,35,2015,2288204.34
432260,VENANCIO AIRES,43,2015,1723481.17
430350,CAMAQUA,43,2015,1682462.12
410490,CASTRO,41,2015,1238825.47
430770,ESTEIO,43,2015,2735001.95
430700,ERECHIM,43,2015,1528370.4
412710,TELEMACO BORBA,41,2015,2236360.6
412820,UNIAO DA VITORIA,41,2015,1226244.66
250370,CAJAZEIRAS,25,2015,0.0
421930,VIDEIRA,42,2015,1736039.4
330620,VASSOURAS,33,2015,1529572.02
430470,CARAZINHO,43,2015,1372666.49
210860,PINHEIRO,21,2015,0.0
354940,SAO JOAQUIM DA BARRA,35,2015,0.0
420140,ARARANGUA,42,2015,1394799.39
351340,CRUZEIRO,35,2015,1638297.58
430040,ALEGRETE,43,2015,1361246.19
421950,XANXERE,42,2015,1626813.85
431710,SANT'ANA DO LIVRAMENTO,43,2015,1414056.11
330420,RESENDE,33,2015,1151040.48
250630,GUARABIRA,25,2015,0.0
355060,SAO ROQUE,35,2015,2841895.04
351630,FRANCISCO MORATO,35,2015,0.0
150170,BRAGANCA,15,2015,1461733.27
431800,SAO BORJA,43,2015,1259241.49
522010,SAO LUIS DE MONTES BELOS,52,2015,0.0
352340,ITATIBA,35,2015,0.0
420430,CONCORDIA,42,2015,1161035.93
351500,EMBU DAS ARTES,35,2015,0.0
220190,BOM JESUS,22,2015,636282.36
432240,URUGUAIANA,43,2015,1136171.66
314700,PARACATU,31,2015,1166083.28
500330,COXIM,50,2015,0.0
430210,BENTO GONCALVES,43,2015,1234525.12
431640,ROSARIO DO SUL,43,2015,1134646.99
432080,SOLEDADE,43,2015,1118621.94
420480,CURITIBANOS,42,2015,1176190.68
431830,SAO GABRIEL,43,2015,1172183.39
420900,JOACABA,42,2015,1807829.04
431330,NOVA PRATA,43,2015,947155.28
320230,GUACUI,32,2015,0.0
120020,CRUZEIRO DO SUL,12,2015,0.0
431740,SANTIAGO,43,2015,598694.8
330040,BARRA MANSA,33,2015,1699094.43
431880,SAO LOURENCO DO SUL,43,2015,748597.04
432000,SAPUCAIA DO SUL,43,2015,0.0
210320,CHAPADINHA,21,2015,0.0
421003,LUZERNA,42,2015,0.0
280350,LAGARTO,28,2015,0.0
316870,TIMOTEO,31,2015,0.0
355070,SAO SEBASTIAO,35,2015,3339642.73
150553,PARAUAPEBAS,15,2015,0.0
410180,ARAUCARIA,41,2015,0.0
431060,ITAQUI,43,2015,490712.06
410590,COLORADO,41,2015,0.0
292860,SANTO AMARO,29,2015,0.0
261390,SERRA TALHADA,26,2015,0.0
292880,SANTO ESTEVAO,29,2015,0.0
352250,ITAPEVI,35,2015,0.0
353930,PIRASSUNUNGA,35,2015,0.0
430780,ESTRELA,43,2015,403102.13
510704,PRIMAVERA DO LESTE,51,2015,0.0
314180,MINAS NOVAS,31,2015,0.0
522160,URUACU,52,2015,0.0
354130,PRESIDENTE EPITACIO,35,2015,0.0
330360,PARACAMBI,33,2015,2052030.45
221060,SAO RAIMUNDO NONATO,22,2015,0.0
210910,PRESIDENTE DUTRA,21,2015,0.0
150180,BREVES,15,2015,0.0
314560,OLIVEIRA,31,2015,0.0
500325,COSTA RICA,50,2015,0.0
352940,MAUA,35,2015,546693.08
353390,OLIMPIA,35,2015,0.0
430440,CANELA,43,2015,290946.58
314520,NOVA SERRANA,31,2015,0.0
351350,CUBATAO,35,2015,0.0
290390,BOM JESUS DA LAPA,29,2015,0.0
350170,AMERICO BRASILIENSE,35,2015,1200.0
292530,PORTO SEGURO,29,2015,0.0
355150,SERRANA,35,2015,0.0
210990,SANTA INES,21,2015,0.0
315140,PITANGUI,31,2015,0.0
316210,SAO GOTARDO,31,2015,0.0
210160,BARRA DO CORDA,21,2015,0.0
330400,PIRAI,33,2015,0.0
120010,BRASILEIA,12,2015,0.0
292990,SEABRA,29,2015,0.0
313520,JANUARIA,31,2015,0.0
352260,ITAPIRA,35,2015,0.0
330023,ARMACAO DOS BUZIOS,33,2015,0.0
313630,JOAO PINHEIRO,31,2015,0.0
316940,TRES PONTAS,31,2015,0.0
350210,ANDRADINA,35,2015,0.0
521310,MINEIROS,52,2015,0.0
150010,ABAETETUBA,15,2015,0.0
150220,CAPANEMA,15,2015,0.0
320090,BARRA DE SAO FRANCISCO,32,2015,0.0
330060,BOM JESUS DO ITABAPOANA,33,2015,0.0
352310,ITAQUAQUECETUBA,35,2015,0.0
320060,ARACRUZ,32,2015,0.0
220840,PIRIPIRI,22,2015,0.0
231330,TAUA,23,2015,0.0
231340,TIANGUA,23,2015,0.0
250970,MONTEIRO,25,2015,0.0
270840,SAO JOSE DA TAPERA,27,2015,0.0
270800,SANTANA DO IPANEMA,27,2015,0.0
411580,MEDIANEIRA,41,2015,0.0
230523,HORIZONTE,23,2015,0.0
432190,TRES PASSOS,43,2015,0.0
500190,BATAGUASSU,50,2015,0.0
210360,COROATA,21,2015,0.0
150360,ITAITUBA,15,2015,0.0
210140,BALSAS,21,2015,0.0
150810,TUCURUI,15,2015,0.0
510410,GUARANTA DO NORTE,51,2015,0.0
510792,SORRISO,51,2015,0.0
355030,SAO PAULO,35,2016,187215012.36
330455,RIO DE JANEIRO,33,2016,86443106.59
310620,BELO HORIZONTE,31,2016,66747486.12
261160,RECIFE,26,2016,56604516.43
230440,FORTALEZA,23,2016,45719604.15
292740,SALVADOR,29,2016,45232830.22
520870,GOIANIA,52,2016,40454259.02
530010,BRASILIA,53,2016,25196754.25
211130,SAO LUIS,21,2016,24882643.03
240810,NATAL,24,2016,25115495.24
431490,PORTO ALEGRE,43,2016,28788970.86
270430,MACEIO,27,2016,24393352.85
221100,TERESINA,22,2016,23687739.97
150140,BELEM,15,2016,17846762.69
130260,MANAUS,13,2016,19170810.85
500270,CAMPO GRANDE,50,2016,20823070.61
350950,CAMPINAS,35,2016,22027434.93
410690,CURITIBA,41,2016,20584978.81
354340,RIBEIRAO PRETO,35,2016,17671586.26
280030,ARACAJU,28,2016,18710838.32
250400,CAMPINA GRANDE,25,2016,16487474.23
250750,JOAO PESSOA,25,2016,13338228.39
510340,CUIABA,51,2016,15945037.73
351880,GUARULHOS,35,2016,16822541.8
311860,CONTAGEM,31,2016,17026301.21
291080,FEIRA DE SANTANA,29,2016,16644439.08
260400,CARPINA,26,2016,12342112.76
330490,SAO GONCALO,33,2016,14688295.4
317020,UBERLANDIA,31,2016,12889558.39
330170,DUQUE DE CAXIAS,33,2016,15227817.41
354980,SAO JOSE DO RIO PRETO,35,2016,13509532.44
411370,LONDRINA,41,2016,10990867.43
293330,VITORIA DA CONQUISTA,29,2016,12591780.6
330045,BELFORD ROXO,33,2016,12802332.59
313670,JUIZ DE FORA,31,2016,12077145.51
210530,IMPERATRIZ,21,2016,11051146.13
312770,GOVERNADOR VALADARES,31,2016,10717370.74
